verb_key	role	arg_key
40007007001	A0	40006030022
40007007003	A1	00000000000
40007007003	A2	40007007004
40007007005	A0	40006030022
40007007007	A0	40006030022
40007007008	A0	40006030022
40007007010	A1	00000000000
40007007010	A2	40007007011
40007008004	A0	00000000000
40007008005	A0	40007008004
40007008008	A0	00000000000
40007008009	A0	40007008008
40007008012	A0	00000000000
40007008013	A1	00000000000
40007008013	A2	40007008012
40007009008	A2	40007009007
40007009008	A0	40007009010
40007009008	A1	40007009012
40007009015	A0	40007009006
40007009015	A1	40007009014
40007009015	A2	40007009016
40007010004	A0	40007009010
40007010004	A1	40007010003
40007010007	A0	40007009006
40007010007	A1	40007010006
40007010007	A2	40007010008
40007011006	A0	40007011003
40007011006	A1	40007011009
40007011009	A0	40006030022
40007011009	A1	40007011007
40007011009	A2	40007011011
40007011022	A0	40007011016
40007011022	A1	40007011023
40007011022	A2	40007011025
40007011025	A0	00000000000
40007011025	A1	40007011026
40007012005	A0	40006030022
40007012007	A2	40007012008
40007012007	A1	40007012003
40007012007	A0	40007012010
40007012014	A0	40007012013
40007012014	A1	00000000000
40007012014	A2	40007012015
40007013001	A0	40006030022
40007013015	A0	40007013013
40007013023	A0	00000000000
40007014010	A0	40007014008
40007014018	A0	00000000000
40007014018	A1	40007014019
40007015001	A0	40006030022
40007015006	A0	40007015005
40007016005	A0	40006030022
40007016005	A1	40007016006
40007016008	A0	00000000000
40007016008	A1	40007016011
40007017007	A0	40007017003
40007017007	A1	40007017005
40007017014	A0	40007017011
40007017014	A1	40007017012
40007018002	A0	40007018003
40007018002	A1	40007018007
40007018007	A0	40007018003
40007018007	A1	40007018005
40007018013	A0	40007018009
40007018013	A1	40007018011
40007019004	A0	40007019002
40007019004	A1	40007019005
40007019007	A1	40007019002
40007019011	A1	40007019002
40007020006	A0	40006030022
40007020006	A1	40007020007
40007021004	A0	00000000000
40007021004	A2	40007021005
40007021008	A0	40007021004
40007021016	A0	00000000000
40007021016	A1	40007021018
40007022002	A0	40007022001
40007022002	A2	40007022003
40007022014	A0	40007022001
40007022020	A0	40007022001
40007022020	A1	40007022019
40007022027	A0	40007022001
40007022027	A1	40007022025
40007023003	A0	40004017005
40007023003	A2	40007023004
40007023007	A0	40004017005
40007023007	A1	40007023008
40007023009	A0	40007023013
40007023013	A0	40007022001
40007023013	A1	40007023015
40007024004	A0	40007024003
40007024004	A1	40007024007
40007024010	A0	40007024003
40007024010	A1	40007024011
40007024012	A1	40007024004
40007024012	A1	40007024010
40007024016	A0	40007024015
40007024016	A1	40007024019
40007025002	A0	40007025004
40007025006	A0	40007025008
40007025010	A0	40007025012
